DR_NO,Date_Rptd,DATE_OCC,AREA_NAME,Crm_Cd,Crm_Cd_Desc,Vict_Age,Vict_Sex,Premis_Desc,Status,Location,LAT,LON
200104456,01-06-2020,01-03-2020,Central,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,X,OTHER/OUTSIDE,IC,W 17TH ST,34.05,-118.26
200104459,01-03-2020,01-03-2020,Central,330,BURGLARY FROM VEHICLE,23,M,STAPLES CENTER *,IC,700 S GRAND AV,34.04,-118.27
200104462,01-07-2020,01-06-2020,Central,480,BIKE - STOLEN,57,M,PARKING UNDERGROUND/BUILDING,IC,200 S SAN PEDRO ST,34.05,-118.26
200104470,01-07-2020,01-06-2020,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),25,F,OTHER PREMISE,IC,6500 YUCCA ST,34.05,-118.24
200104474,01-07-2020,01-06-2020,Central,888,TRESPASSING,34,F,DEPARTMENT STORE,IC,3900 DENKER AV,34.05,-118.26
200104475,01-07-2020,01-06-2020,Central,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",35,M,STREET,IC,700 N MAIN ST,34.04,-118.24
200104476,01-07-2020,01-06-2020,Central,330,BURGLARY FROM VEHICLE,38,M,PARKING LOT,IC,700 WILSHIRE BL,34.07,-118.23
200104477,01-07-2020,01-06-2020,Central,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,29,F,SIDEWALK,IC,400 W 8TH ST,34.06,-118.23
200104488,01-07-2020,01-07-2020,Central,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),24,M,"COFFEE SHOP (STARBUCKS, COFFEE BEAN, PEET'S, ETC.)",IC,700 W 7TH ST,34.06,-118.23
200104489,01-07-2020,01-07-2020,Central,624,BATTERY - SIMPLE ASSAULT,26,F,STREET,IC,6TH,34.05,-118.26
200104498,01-07-2020,01-07-2020,Central,220,ATTEMPTED ROBBERY,56,M,SIDEWALK,IC,1000 WILSHIRE BL,34.05,-118.24
200104499,01-07-2020,01-06-2020,Central,330,BURGLARY FROM VEHICLE,26,M,STREET,IC,E 8TH ST,34.06,-118.25
200104500,01-07-2020,01-07-2020,Central,625,OTHER ASSAULT,47,M,OTHER BUSINESS,IC,8700 SUNLAND BL,34.05,-118.25
200104501,01-08-2020,01-08-2020,Central,350,"THEFT, PERSON",29,F,PARKING UNDERGROUND/BUILDING,AA,ALPINE ST,34.05,-118.27
200104503,01-08-2020,01-08-2020,Central,755,BOMB SCARE,29,M,STAPLES CENTER *,IC,6TH,34.04,-118.27
200104505,01-07-2020,01-07-2020,Central,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0,X,DEPARTMENT STORE,IC,300 E 2ND ST,34.05,-118.26
200104513,01-08-2020,01-07-2020,Central,510,VEHICLE - STOLEN,0,,STREET,IC,1300 S HOPE ST,34.07,-118.25
200104522,01-08-2020,01-07-2020,Central,330,BURGLARY FROM VEHICLE,32,M,PARKING UNDERGROUND/BUILDING,IC,700 CENTER ST,34.05,-118.26
200104524,01-08-2020,01-08-2020,Central,624,BATTERY - SIMPLE ASSAULT,30,M,SIDEWALK,IC,300 E 2ND ST,34.04,-118.26
200104526,01-08-2020,01-07-2020,Central,624,BATTERY - SIMPLE ASSAULT,62,F,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,500 S MAIN ST,34.05,-118.25
200104527,01-08-2020,01-06-2020,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),71,M,MISSIONS/SHELTERS,IC,FACTORY PL,34.05,-118.24
200104534,01-08-2020,01-08-2020,Central,624,BATTERY - SIMPLE ASSAULT,53,M,SIDEWALK,IC,400 S ALAMEDA ST,34.04,-118.25
200104545,01-07-2020,01-02-2020,Central,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",31,M,"VEHICLE, PASSENGER/TRUCK",IC,5TH ST,34.04,-118.26
200104547,01-08-2020,01-07-2020,Central,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,M,CONSTRUCTION SITE,IC,600 CERES AV,34.04,-118.26
200104548,01-07-2020,01-06-2020,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),49,M,RESTAURANT/FAST FOOD,IC,800 S OLIVE ST,34.04,-118.24
200104549,01-08-2020,01-06-2020,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),38,M,STREET,IC,300 S BROADWAY,34.05,-118.24
200104550,01-08-2020,01-08-2020,Central,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",55,M,MISSIONS/SHELTERS,IC,4TH ST,34.04,-118.25
200104551,01-08-2020,01-08-2020,Central,761,BRANDISH WEAPON,43,M,CONSTRUCTION SITE,IC,2ND ST,34.04,-118.27
211613998,11-08-2021,11-01-2020,Foothill,354,THEFT OF IDENTITY,64,F,SINGLE FAMILY DWELLING,IC,WESTLAKE,34.27,-118.36
200104556,01-08-2020,01-08-2020,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),56,M,SIDEWALK,IC,HEWITT,34.05,-118.24
200104573,01-08-2020,01-08-2020,Central,330,BURGLARY FROM VEHICLE,30,M,STREET,IC,HEWITT,34.05,-118.24
200104576,01-08-2020,01-08-2020,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),35,M,OTHER BUSINESS,IC,800 W OLYMPIC BL,34.05,-118.26
200104577,01-08-2020,01-08-2020,Central,510,VEHICLE - STOLEN,0,,STREET,IC,1800 S FLOWER ST,34.04,-118.27
200104578,01-09-2020,01-07-2020,Central,888,TRESPASSING,36,M,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,700 S MAIN ST,34.05,-118.24
200104579,01-09-2020,01-07-2020,Central,310,BURGLARY,25,F,MEDICAL/DENTAL OFFICES,IC,OLIVE,34.06,-118.24
200104580,01-09-2020,01-08-2020,Central,480,BIKE - STOLEN,67,M,RESTAURANT/FAST FOOD,IC,500 W 6TH ST,34.05,-118.26
200104582,01-09-2020,01-06-2020,Central,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",37,M,SIDEWALK,IC,700 N ALAMEDA ST,34.04,-118.25
200104584,01-08-2020,01-07-2020,Central,662,"BUNCO, GRAND THEFT",40,M,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,600 E 5TH ST,34.05,-118.26
200104588,01-09-2020,01-09-2020,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),59,F,LA UNION STATION (NOT LINE SPECIFIC),IC,500 CERES AV,34.06,-118.24
200104590,01-08-2020,01-08-2020,Central,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),34,M,DRUG STORE,IC,LOS ANGELES,34.05,-118.25
200104594,01-08-2020,01-08-2020,Central,624,BATTERY - SIMPLE ASSAULT,20,M,MTA - RED LINE - 7TH AND METRO CENTER,IC,500 S SAN PEDRO ST,34.05,-118.26
200104598,01-09-2020,01-07-2020,Central,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),69,F,SINGLE FAMILY DWELLING,IC,200 S SAN PEDRO ST,34.07,-118.23
200104603,01-09-2020,01-09-2020,Central,480,BIKE - STOLEN,0,X,MTA - RED LINE - UNION STATION,AA,500 S MAIN ST,34.06,-118.24
200104609,01-09-2020,01-07-2020,Central,220,ATTEMPTED ROBBERY,58,F,MTA - RED LINE - UNION STATION,IC,400 CASANOVA ST,34.06,-118.24
200104613,01-08-2020,01-06-2020,Central,330,BURGLARY FROM VEHICLE,33,F,PARKING UNDERGROUND/BUILDING,IC,1600 SANTEE ST,34.04,-118.26
200104616,01-07-2020,01-07-2020,Central,330,BURGLARY FROM VEHICLE,28,F,STREET,IC,600 N FIGUEROA ST,34.03,-118.27
200104617,01-09-2020,01-01-2020,Central,330,BURGLARY FROM VEHICLE,31,M,GARAGE/CARPORT,IC,1000 S FLOWER ST,34.05,-118.26
200104619,01-08-2020,01-05-2020,Central,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",38,M,SIDEWALK,IC,CESAR E CHAVEZ,34.05,-118.24
200604186,01-05-2020,01-05-2020,Hollywood,649,DOCUMENT FORGERY / STOLEN FELONY,0,X,STREET,AA,300 E 5TH ST,34.1,-118.33
200610130,05-11-2020,05-11-2020,Hollywood,210,ROBBERY,0,X,MINI-MART,AA,600 S FIGUEROA ST,34.1,-118.34
200320020,11-07-2020,11-07-2020,Southwest,901,VIOLATION OF RESTRAINING ORDER,25,M,SINGLE FAMILY DWELLING,AO,500 S HILL ST,34.02,-118.3
200104657,01-09-2020,01-09-2020,Central,624,BATTERY - SIMPLE ASSAULT,34,F,LIQUOR STORE,IC,5TH,34.06,-118.24
200104658,01-09-2020,01-09-2020,Central,946,OTHER MISCELLANEOUS CRIME,41,M,PARKING LOT,IC,500 RAMIREZ ST,34.05,-118.26
200104660,01-09-2020,01-08-2020,Central,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",49,F,TOBACCO SHOP,IC,800 N ALAMEDA ST,34.04,-118.26
200104663,01-09-2020,01-09-2020,Central,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),20,F,OTHER STORE,IC,800 N ALAMEDA ST,34.05,-118.26
200104670,01-10-2020,01-09-2020,Central,330,BURGLARY FROM VEHICLE,30,F,STREET,IC,600 W 7TH ST,34.04,-118.25
200104673,01-09-2020,01-01-2020,Central,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",27,F,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,900 N BEAUDRY AV,34.05,-118.26
200104682,01-09-2020,01-09-2020,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),32,M,HIGH-RISE BUILDING,IC,500 S LOS ANGELES ST,34.05,-118.26
200104683,01-10-2020,01-06-2020,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),39,F,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,500 S SAN PEDRO ST,34.04,-118.25
201610902,07-09-2020,07-09-2020,Foothill,210,ROBBERY,35,F,RESTAURANT/FAST FOOD,AA,1100 S FIGUEROA ST,34.23,-118.37
200104691,01-09-2020,01-08-2020,Central,350,"THEFT, PERSON",64,F,STREET,IC,600 N SPRING ST,34.06,-118.24
200104696,01-10-2020,01-10-2020,Central,624,BATTERY - SIMPLE ASSAULT,57,M,STREET,IC,100 E 5TH ST,34.04,-118.25
200104697,01-10-2020,01-09-2020,Central,330,BURGLARY FROM VEHICLE,34,F,PARKING LOT,IC,400 COLYTON ST,34.05,-118.24
200104700,01-10-2020,01-08-2020,Central,330,BURGLARY FROM VEHICLE,29,M,PARKING LOT,IC,FLOWER,34.04,-118.26
200104702,01-10-2020,01-10-2020,Central,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0,X,HOSPITAL,IC,600 S SPRING ST,34.04,-118.27
200104703,01-01-2020,01-01-2020,Central,330,BURGLARY FROM VEHICLE,27,M,PARKING LOT,IC,1100 S FIGUEROA ST,34.05,-118.23
200104704,01-09-2020,01-09-2020,Central,330,BURGLARY FROM VEHICLE,0,X,PARKING LOT,IC,1200 S MAIN ST,34.05,-118.24
200104713,01-10-2020,01-10-2020,Central,900,VIOLATION OF COURT ORDER,53,M,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,600 N ALAMEDA ST,34.05,-118.25
200104715,01-10-2020,01-10-2020,Central,510,VEHICLE - STOLEN,0,,STREET,IC,14600 VANOWEN ST,34.04,-118.24
200104717,01-10-2020,01-09-2020,Central,330,BURGLARY FROM VEHICLE,46,F,PARKING LOT,IC,100 JUDGE JOHN AISO ST,34.04,-118.24
200104718,01-10-2020,01-10-2020,Central,624,BATTERY - SIMPLE ASSAULT,55,F,STREET,IC,19500 INGOMAR ST,34.05,-118.25
200104719,01-10-2020,01-08-2020,Central,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",33,M,MUNICIPAL BUS LINE INCLUDES LADOT/DASH,IC,700 S GRAND AV,34.04,-118.26
200104721,01-10-2020,01-10-2020,Central,510,VEHICLE - STOLEN,0,,STREET,IC,200 E 6TH ST,34.04,-118.24
200104726,01-10-2020,01-10-2020,Central,310,BURGLARY,27,M,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AA,800 S HILL ST,34.05,-118.26
200104727,01-10-2020,01-10-2020,Central,624,BATTERY - SIMPLE ASSAULT,48,M,SIDEWALK,IC,200 W 7TH ST,34.05,-118.25
200104734,01-11-2020,01-10-2020,Central,510,VEHICLE - STOLEN,0,,STREET,IC,600 S OLIVE ST,34.04,-118.23
200104735,01-11-2020,01-10-2020,Central,220,ATTEMPTED ROBBERY,30,M,SIDEWALK,AA,600 S SPRING ST,34.05,-118.24
200205570,02-01-2020,02-01-2020,Rampart,510,VEHICLE - STOLEN,0,,STREET,IC,7TH ST,34.06,-118.27
200104737,01-11-2020,01-11-2020,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",26,M,SIDEWALK,IC,700 S GRAND AV,34.05,-118.24
200104738,01-11-2020,01-11-2020,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",26,M,SIDEWALK,IC,700 W 7TH ST,34.05,-118.24
200104739,01-11-2020,01-10-2020,Central,624,BATTERY - SIMPLE ASSAULT,28,F,SIDEWALK,IC,900 W OLYMPIC BL,34.05,-118.26
200104740,01-11-2020,01-10-2020,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",36,M,SINGLE FAMILY DWELLING,IC,800 S FIGUEROA ST,34.04,-118.27
200104741,01-11-2020,01-10-2020,Central,330,BURGLARY FROM VEHICLE,0,M,PARKING LOT,IC,200 BOYD ST,34.04,-118.25
200104742,01-11-2020,01-10-2020,Central,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",33,F,"VEHICLE, PASSENGER/TRUCK",IC,5TH,34.04,-118.26
200104743,01-11-2020,01-09-2020,Central,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",27,M,STREET,IC,200 E 11TH ST,34.05,-118.25
200104744,01-11-2020,01-11-2020,Central,320,"BURGLARY, ATTEMPTED",0,M,OTHER RESIDENCE,IC,600 N BROADWAY,34.06,-118.24
200104745,01-11-2020,01-10-2020,Central,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0,M,HOSPITAL,AA,1000 S HOPE ST,34.04,-118.27
200104749,01-11-2020,01-10-2020,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),48,M,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,1000 S FIGUEROA ST,34.04,-118.24
200104750,01-11-2020,01-11-2020,Central,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0,M,BUS STOP,IC,600 W 7TH ST,34.05,-118.25
200104752,01-11-2020,01-11-2020,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),28,F,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,800 S OLIVE ST,34.04,-118.24
200104754,01-11-2020,01-11-2020,Central,624,BATTERY - SIMPLE ASSAULT,58,F,SIDEWALK,IC,FRIGATE,34.05,-118.25
200104755,01-11-2020,01-11-2020,Central,624,BATTERY - SIMPLE ASSAULT,51,M,SIDEWALK,IC,1000 S ALVARADO ST,34.04,-118.25
200104759,01-11-2020,01-02-2020,Central,354,THEFT OF IDENTITY,64,F,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,6TH,34.05,-118.24
200104761,01-11-2020,01-10-2020,Central,330,BURGLARY FROM VEHICLE,32,M,PARKING LOT,IC,1100 S FIGUEROA ST,34.05,-118.25
200104762,01-11-2020,01-11-2020,Central,330,BURGLARY FROM VEHICLE,32,M,PARKING UNDERGROUND/BUILDING,IC,600 W 5TH ST,34.04,-118.27
200104763,01-11-2020,01-11-2020,Central,510,VEHICLE - STOLEN,0,,STREET,IC,300 S BROADWAY,34.07,-118.23
200104765,01-11-2020,01-11-2020,Central,330,BURGLARY FROM VEHICLE,39,M,ALLEY,IC,ORD,34.03,-118.26
200104766,01-11-2020,01-06-2020,Central,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",38,M,"VEHICLE, PASSENGER/TRUCK",IC,200 N MAIN ST,34.06,-118.25
200104768,01-11-2020,01-10-2020,Central,662,"BUNCO, GRAND THEFT",29,M,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,SUNSET,34.04,-118.26
200104769,01-11-2020,01-11-2020,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),38,M,SIDEWALK,IC,700 S MAIN ST,34.06,-118.24
200104770,01-11-2020,01-11-2020,Central,350,"THEFT, PERSON",20,M,STREET,IC,300 E 5TH ST,34.05,-118.24
200104772,01-11-2020,01-11-2020,Central,624,BATTERY - SIMPLE ASSAULT,57,M,MTA - RED LINE - 7TH AND METRO CENTER,IC,2600 S CABRILLO AV,34.05,-118.26
200104774,01-11-2020,01-11-2020,Central,624,BATTERY - SIMPLE ASSAULT,65,F,MTA - PURPLE LINE - PERSHING SQUARE,IC,100 S GRAND AV,34.05,-118.25
200104775,01-11-2020,01-11-2020,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),22,F,STREET,IC,1200 S GRAND AV,34.05,-118.25
200104800,01-11-2020,01-11-2020,Central,761,BRANDISH WEAPON,22,M,PARKING LOT,IC,600 S LOS ANGELES ST,34.06,-118.23
200104806,01-12-2020,01-10-2020,Central,888,TRESPASSING,0,M,LA UNION STATION (NOT LINE SPECIFIC),IC,800 W 255TH ST,34.06,-118.24
200104808,01-12-2020,01-11-2020,Central,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),30,M,LA UNION STATION (NOT LINE SPECIFIC),IC,6300 6TH AV,34.06,-118.24
200104810,01-09-2020,01-09-2020,Central,624,BATTERY - SIMPLE ASSAULT,30,F,MTA - RED LINE - 7TH AND METRO CENTER,IC,7800 BEEMAN AV,34.05,-118.26
200104813,01-11-2020,01-11-2020,Central,624,BATTERY - SIMPLE ASSAULT,65,M,SINGLE FAMILY DWELLING,IC,300 N VERMONT AV,34.07,-118.25
200104814,01-11-2020,01-11-2020,Central,624,BATTERY - SIMPLE ASSAULT,28,M,OTHER STORE,IC,3300 SAN MARINO ST,34.05,-118.25
200104815,01-11-2020,01-11-2020,Central,624,BATTERY - SIMPLE ASSAULT,41,F,MISSIONS/SHELTERS,IC,15600 SIMONDS ST,34.04,-118.24
200104817,01-11-2020,01-11-2020,Central,624,BATTERY - SIMPLE ASSAULT,28,F,STAPLES CENTER *,IC,800 S TREMAINE AV,34.04,-118.27
200104818,01-12-2020,01-12-2020,Central,624,BATTERY - SIMPLE ASSAULT,35,F,SIDEWALK,IC,2400 COLORADO BL,34.06,-118.24
200104819,01-11-2020,01-11-2020,Central,330,BURGLARY FROM VEHICLE,35,M,SIDEWALK,IC,3500 E 7TH ST,34.05,-118.25
200104820,01-12-2020,01-11-2020,Central,330,BURGLARY FROM VEHICLE,38,M,SIDEWALK,IC,200 S WESTLAKE AV,34.04,-118.24
200104821,01-11-2020,01-11-2020,Central,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",32,F,SIDEWALK,IC,300 E 1ST ST,34.04,-118.26
200104822,01-11-2020,01-11-2020,Central,480,BIKE - STOLEN,39,F,SIDEWALK,IC,400 HARTFORD AV,34.05,-118.25
200104823,01-11-2020,01-09-2020,Central,350,"THEFT, PERSON",57,M,STAPLES CENTER *,IC,1000 WILSHIRE BL,34.04,-118.27
200104826,01-11-2020,01-11-2020,Central,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",56,M,OTHER BUSINESS,IC,1600 W 204TH ST,34.04,-118.26
200104829,01-12-2020,01-12-2020,Central,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",29,M,"VEHICLE, PASSENGER/TRUCK",IC,7900 BOTHWELL RD,34.05,-118.24
200918367,12-12-2020,12-12-2020,Van Nuys,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",45,M,SIDEWALK,IC,1500 VINE ST,34.2,-118.46
200104835,01-11-2020,01-11-2020,Central,901,VIOLATION OF RESTRAINING ORDER,47,F,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,100 AVENUE 56,34.06,-118.24
200104836,01-12-2020,01-11-2020,Central,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",30,M,"VEHICLE, PASSENGER/TRUCK",IC,1100 S FIGUEROA ST,34.05,-118.24
201007153,03-12-2020,03-12-2020,West Valley,888,TRESPASSING,45,F,SINGLE FAMILY DWELLING,AA,900 S GRAND AV,34.21,-118.56
200104842,01-12-2020,01-08-2020,Central,330,BURGLARY FROM VEHICLE,34,F,PARKING LOT,IC,6600 BRYNHURST AV,34.05,-118.26
200104843,01-12-2020,01-11-2020,Central,330,BURGLARY FROM VEHICLE,57,F,PARKING LOT,IC,1600 W 54TH ST,34.04,-118.25
200104844,01-12-2020,01-12-2020,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",45,M,STREET,IC,6200 MT ANGELUS DR,34.04,-118.24
200104847,01-12-2020,01-11-2020,Central,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",28,F,"VEHICLE, PASSENGER/TRUCK",IC,1600 W 54TH ST,34.05,-118.26
200104848,01-12-2020,01-11-2020,Central,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,62,M,STREET,IC,200 WOODRUFF AV,34.05,-118.25
200104849,01-12-2020,01-12-2020,Central,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),21,F,DRUG STORE,IC,2200 MARICOPA DR,34.05,-118.26
200104850,01-12-2020,01-12-2020,Central,310,BURGLARY,27,M,DEPARTMENT STORE,IC,3900 URSULA AV,34.05,-118.25
200104851,01-12-2020,01-11-2020,Central,350,"THEFT, PERSON",26,F,NIGHT CLUB (OPEN EVENINGS ONLY),IC,5TH,34.05,-118.25
200104853,01-12-2020,01-11-2020,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),26,F,RESTAURANT/FAST FOOD,IC,300 E 5TH ST,34.05,-118.26
200104857,01-12-2020,01-05-2020,Central,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,,PARKING LOT,IC,1400 W HILL DR,34.04,-118.27
200104860,01-12-2020,01-10-2020,Central,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",29,M,PARKING LOT,IC,00 OLVERA ST,34.05,-118.26
200104861,01-12-2020,01-12-2020,Central,210,ROBBERY,23,M,DEPARTMENT STORE,AO,400 W 8TH ST,34.05,-118.26
200104863,01-12-2020,01-11-2020,Central,330,BURGLARY FROM VEHICLE,38,F,PARKING LOT,IC,600 W SUNSET BL,34.05,-118.27
200104865,01-12-2020,01-12-2020,Central,330,BURGLARY FROM VEHICLE,27,M,PARKING LOT,IC,700 W 7TH ST,34.05,-118.26
200104868,01-12-2020,01-08-2020,Central,624,BATTERY - SIMPLE ASSAULT,35,M,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,BOYD ST,34.05,-118.25
200104869,01-12-2020,01-12-2020,Central,624,BATTERY - SIMPLE ASSAULT,60,M,MTA BUS,IC,500 WALL ST,34.05,-118.25
200104872,01-12-2020,01-12-2020,Central,330,BURGLARY FROM VEHICLE,26,M,STREET,IC,800 FRANCISCO ST,34.04,-118.26
200104873,01-12-2020,01-12-2020,Central,330,BURGLARY FROM VEHICLE,36,M,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,600 N SPRING ST,34.06,-118.24
200104874,01-12-2020,01-11-2020,Central,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",45,M,"VEHICLE, PASSENGER/TRUCK",IC,ALPINE,34.04,-118.26
200104875,01-12-2020,01-12-2020,Central,888,TRESPASSING,0,X,BAR/SPORTS BAR (OPEN DAY & NIGHT),IC,LOS ANGELES,34.05,-118.27
200104879,01-12-2020,01-12-2020,Central,210,ROBBERY,0,X,OTHER STORE,IC,800 N ALAMEDA ST,34.05,-118.26
200104880,01-12-2020,01-12-2020,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),20,F,SIDEWALK,IC,800 W OLYMPIC BL,34.05,-118.26
200508173,04-12-2020,04-12-2020,Harbor,890,FAILURE TO YIELD,0,X,STREET,AA,800 W OLYMPIC BL,33.78,-118.28
200204368,01-08-2020,01-08-2020,Rampart,888,TRESPASSING,19,X,LIBRARY,IC,800 W OLYMPIC BL,34.05,-118.28
200106568,02-06-2020,02-05-2020,Central,351,PURSE SNATCHING,54,F,STREET,IC,600 S OLIVE ST,34.04,-118.25
200104884,01-12-2020,01-11-2020,Central,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",44,M,STAPLES CENTER *,IC,800 S FIGUEROA ST,34.04,-118.27
200104885,01-12-2020,01-12-2020,Central,480,BIKE - STOLEN,26,M,LIBRARY,IC,400 W 8TH ST,34.05,-118.25
200104886,01-12-2020,01-12-2020,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),22,F,MARKET,IC,800 S GRAND AV,34.05,-118.25
200104887,01-12-2020,01-12-2020,Central,946,OTHER MISCELLANEOUS CRIME,32,M,STREET,AO,7TH ST,34.06,-118.24
200104896,01-08-2020,01-03-2020,Central,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",0,X,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",IC,700 S SPRING ST,34.05,-118.24
200610092,05-10-2020,05-10-2020,Hollywood,330,BURGLARY FROM VEHICLE,22,F,STREET,AO,1200 S OLIVE ST,34.1,-118.33
200104955,01-12-2020,01-12-2020,Central,624,BATTERY - SIMPLE ASSAULT,21,M,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,400 WITMER ST,34.04,-118.25
200104997,01-10-2020,01-06-2020,Central,624,BATTERY - SIMPLE ASSAULT,32,F,STREET,IC,700 W 7TH ST,34.04,-118.25
200510203,06-04-2020,06-04-2020,Harbor,510,VEHICLE - STOLEN,0,,STREET,IC,600 S SPRING ST,33.72,-118.29
200105023,01-12-2020,01-11-2020,Central,330,BURGLARY FROM VEHICLE,28,M,UNDERPASS/BRIDGE*,IC,1200 S MAIN ST,34.05,-118.23
200105026,01-06-2020,01-05-2020,Central,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",22,M,SIDEWALK,IC,700 YALE ST,34.06,-118.25
200105030,01-08-2020,01-07-2020,Central,330,BURGLARY FROM VEHICLE,31,M,TRANSPORTATION FACILITY (AIRPORT),IC,1600 S HOPE ST,34.04,-118.26
201115511,11-07-2020,11-07-2020,Northeast,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0,M,"VEHICLE, PASSENGER/TRUCK",AA,HILL,34.08,-118.26
200105074,01-11-2020,01-10-2020,Central,330,BURGLARY FROM VEHICLE,30,M,STREET,IC,BROADWAY,34.04,-118.25
200105090,01-11-2020,01-10-2020,Central,330,BURGLARY FROM VEHICLE,22,F,SIDEWALK,IC,500 S SAN PEDRO ST,34.04,-118.25
